PULocationID,demand
237,1857272
161,1841473
132,1701664
236,1634144
186,1340528
162,1318697
230,1318032
142,1200532
234,1125611
170,1124941
138,1119164
68,1084571
163,1077859
79,1064193
239,1056897
48,995911
249,936803
164,893490
141,891050
107,796784
140,793004
246,759057
238,747659
263,741293
229,657994
90,640183
114,621948
113,591249
100,582259
231,581187
43,559368
262,554008
148,524702
144,469819
143,463761
137,452981
233,449684
158,435150
211,359081
151,321324
75,300475
87,290760
50,282379
13,265635
166,235530
261,213176
125,212602
41,176155
74,157067
88,144549
4,132123
42,118940
70,116710
24,114050
232,109365
209,95628
45,89540
224,87685
255,87292
244,82242
7,79616
116,75685
145,74464
61,72371
226,71974
264,68080
256,64870
37,59211
112,57889
80,54363
97,53759
65,53378
33,53200
66,51065
152,49927
76,49252
181,48619
25,48178
130,46243
129,46210
225,43833
188,42943
17,40790
89,40718
36,38400
146,37491
243,36737
49,35288
216,34529
39,32764
260,29638
179,29622
197,29570
82,29071
168,28149
35,27184
95,26396
177,26032
72,25983
223,25827
93,25141
71,22976
91,22854
228,21235
198,21040
62,20642
193,19944
10,19809
157,19325
189,19006
247,18168
14,17770
85,16960
195,16572
215,16052
127,15916
40,15741
69,15384
52,15299
12,14817
159,13778
63,13644
205,13470
213,13245
92,13170
77,12940
258,12887
55,12466
28,12119
106,12102
254,11768
196,11727
56,11691
51,11661
134,11185
83,11118
235,10647
182,10636
26,10557
167,10539
169,10361
219,9964
191,9818
155,9773
133,9765
165,9552
78,9365
218,9229
222,9018
119,8968
18,8721
210,8696
212,8196
160,8172
86,7807
22,7673
117,7522
265,7438
47,7359
250,7309
241,7307
248,7300
34,7194
227,7137
217,7112
126,7109
173,7040
220,7002
242,6967
131,6957
123,6854
121,6840
102,6809
174,6672
259,6582
81,6338
208,6225
257,6138
60,5949
180,5848
136,5695
147,5635
124,5598
135,5539
29,5455
21,5273
32,5206
149,5182
202,4983
139,4913
20,4844
185,4620
122,4531
108,4483
203,4464
54,4407
94,4255
67,4243
200,4109
3,3970
19,3936
38,3887
190,3707
53,3442
171,3351
150,3195
16,3013
252,2954
11,2932
192,2816
201,2539
101,2527
178,2445
98,2445
183,2366
175,2077
194,2071
153,1795
9,1631
207,1564
73,1564
64,1504
15,1482
128,1255
240,1131
1,1069
31,1031
6,986
57,916
96,815
120,746
46,701
154,658
221,584
58,495
184,495
8,432
253,371
214,356
27,320
115,287
23,257
59,206
118,203
30,178
172,162
206,129
111,124
251,115
156,92
245,82
176,58
2,34
109,30
187,26
